"educ","abd","fthr_ed","hh_size96","mthr_ed","orphan96","hh_fthr_frm","age"
13,0,4,18,0,0,1,25
5,0,7,4,4,0,1,25
7,0,4,7,0,0,1,14
11,0,4,7,0,0,1,20
6,0,4,5,4,0,1,15
11,1,10,5,4,0,1,20
6,0,4,8,0,0,1,14
0,1,10,14,0,0,0,20
15,1,10,8,10,0,1,23
6,0,7,14,4,0,1,16
8,1,10,5,0,0,1,25
5,1,4,7,4,0,1,18
5,1,7,9,4,0,1,26
9,0,4,10,0,0,1,26
4,0,0,8,0,1,1,25
3,0,7,8,0,0,1,22
3,0,0,8,0,0,1,30
11,0,7,8,0,0,1,18
7,1,0,7,0,0,1,30
3,1,0,7,4,0,1,20
4,1,4,6,4,0,1,30
11,0,10,8,4,0,1,25
3,0,4,6,0,1,1,18
4,0,4,5,4,0,1,17
6,1,4,3,0,0,1,30
6,1,0,6,0,0,1,26
6,0,4,5,0,1,1,18
13,0,4,2,0,0,1,30
5,1,7,5,4,0,1,19
10,0,4,8,0,0,1,22
9,0,4,8,0,0,1,20
6,0,10,8,4,0,1,25
3,1,10,8,0,0,1,25
4,1,7,5,4,0,1,29
7,0,10,7,7,0,1,19
6,1,4,7,4,1,1,23
7,0,0,9,4,0,1,25
4,1,7,3,0,0,1,14
11,1,12,16,10,0,1,29
13,0,7,17,4,0,0,24
7,1,12,5,7,0,1,27
7,0,0,5,0,0,1,23
0,1,4,2,0,0,1,25
7,0,0,4,0,0,1,17
6,0,4,6,4,0,1,15
9,0,12,5,7,0,1,18
6,1,10,14,7,0,1,26
5,0,7,6,15,0,1,16
7,0,10,8,0,0,1,16
5,1,7,7,4,0,1,24
5,1,7,8,4,0,1,30
3,0,7,5,7,0,1,16
7,0,4,4,4,0,1,25
5,0,4,4,0,0,1,20
3,1,7,10,4,0,1,22
7,1,7,10,4,0,1,20
5,0,7,15,0,0,1,18
5,1,4,7,0,0,1,18
5,1,4,7,0,0,1,16
7,0,4,2,4,0,1,25
9,0,10,14,0,0,1,20
4,1,4,7,0,1,1,29
6,0,4,8,4,0,1,25
6,1,4,8,0,0,1,17
7,0,10,8,0,0,1,20
6,0,7,7,7,0,1,16
10,0,10,14,0,0,1,17
11,0,0,14,0,0,1,29
7,0,12,9,12,1,0,14
10,1,10,6,0,0,1,27
4,1,4,6,0,0,1,21
11,0,4,13,0,0,1,22
3,0,10,13,0,0,1,26
7,1,4,7,0,0,1,25
7,0,4,5,4,0,1,15
5,0,4,10,4,0,1,14
13,1,10,6,0,0,1,27
6,1,4,2,0,0,1,27
6,0,4,8,4,0,1,14
7,0,4,4,0,0,1,25
5,1,7,7,7,0,1,14
7,1,7,5,10,1,1,15
7,1,4,10,4,0,1,16
9,1,4,7,0,0,1,24
4,1,4,6,4,0,1,15
10,1,4,10,0,0,1,19
12,1,4,7,0,0,1,24
