"","councilnumber","year","logSgwaPercap","treat","first_treat","cohort"
"182",11,2005,2.06195712089539,0,NA,0
"183",11,2006,1.93836295604706,0,NA,0
"184",11,2007,2.16305565834045,0,NA,0
"185",11,2008,1.82514643669128,0,NA,0
"186",11,2009,1.89711999893188,0,NA,0
"187",11,2010,2.16213321685791,0,NA,0
"188",11,2011,2.31301999092102,0,NA,0
"189",11,2012,2.61678171157837,0,NA,0
"190",12,1992,3.27642226219177,0,1997,2
"191",12,1993,3.53788042068481,0,1997,2
"192",12,1994,3.81199359893799,0,1997,2
"193",12,1995,3.73268675804138,0,1997,2
"194",12,1996,3.46556687355042,0,1997,2
"195",12,1997,3.55534815788269,1,1997,2
"196",12,1998,3.93619179725647,1,1997,2
"197",12,1999,4.6685905456543,1,1997,2
"198",12,2000,5.03956174850464,1,1997,2
"199",12,2001,5.27887392044067,1,1997,2
"200",12,2002,5.55714988708496,1,1997,2
"201",12,2003,5.64167833328247,1,1997,2
"202",12,2004,5.71678781509399,1,1997,2
"203",12,2005,5.71025133132935,1,1997,2
"204",12,2006,6.91471862792969,1,1997,2
"205",12,2007,6.97067022323608,1,1997,2
"206",12,2008,6.96426486968994,1,1997,2
"207",12,2009,7.00579595565796,1,1997,2
"208",12,2010,7.05085802078247,0,1997,2
"209",12,2011,7.06791305541992,0,1997,2
"210",12,2012,7.13452959060669,0,1997,2
"211",13,1992,3.04774308204651,1,1992,1
"212",13,1993,3.57663702964783,1,1992,1
"213",13,1994,1.33158648014069,0,1992,1
"214",13,1995,3.59149122238159,0,1992,1
"215",13,1996,3.41055989265442,0,1992,1
"216",13,1997,3.36446619033813,0,1992,1
"217",13,1998,3.73252773284912,0,1992,1
"218",13,1999,3.95813632011414,0,1992,1
"219",13,2000,3.96821236610413,0,1992,1
"220",13,2001,4.43767213821411,0,1992,1
"221",13,2002,4.76354598999023,0,1992,1
"222",13,2003,5.05571508407593,0,1992,1
"223",13,2004,5.08399105072021,0,1992,1
"224",13,2005,5.1040940284729,0,1992,1
"225",13,2006,6.48873567581177,0,1992,1
"226",13,2007,6.59110879898071,0,1992,1
"227",13,2008,6.62954330444336,0,1992,1
"228",13,2009,6.69495391845703,0,1992,1
"229",13,2010,6.70333433151245,1,1992,1
"230",13,2011,6.66336250305176,1,1992,1
"231",13,2012,6.62585783004761,1,1992,1
"232",14,1992,3.27817130088806,0,1997,2
"233",14,1993,3.62987375259399,0,1997,2
"234",14,1994,3.83430051803589,0,1997,2
"235",14,1995,3.65233182907104,0,1997,2
"236",14,1996,3.5686366558075,0,1997,2
"237",14,1997,3.46369099617004,1,1997,2
"238",14,1998,3.6271538734436,1,1997,2
"239",14,1999,3.57428240776062,1,1997,2
"240",14,2000,3.85720252990723,1,1997,2
"241",14,2001,4.48642826080322,1,1997,2
"242",14,2002,4.98766422271729,1,1997,2
"243",14,2003,4.99209356307983,1,1997,2
"244",14,2004,5.1878490447998,1,1997,2
"245",14,2005,5.4151930809021,1,1997,2
"246",14,2006,6.58221244812012,1,1997,2
"247",14,2007,6.67046165466309,1,1997,2
"248",14,2008,6.60562801361084,1,1997,2
"249",14,2009,6.66585969924927,1,1997,2
"250",14,2010,6.61123418807983,0,1997,2
"251",14,2011,6.69595909118652,0,1997,2
"252",14,2012,6.8248462677002,0,1997,2
"253",15,1992,0.967870116233826,0,1997,2
"254",15,1993,0.961813986301422,0,1997,2
"255",15,1994,1.13312172889709,0,1997,2
"256",15,1995,1.0708327293396,0,1997,2
"257",15,1996,1.10184335708618,0,1997,2
"258",15,1997,1.10323119163513,1,1997,2
"259",15,1998,1.23423647880554,1,1997,2
"260",15,1999,1.26089870929718,0,1997,2
"261",15,2000,1.32745385169983,0,1997,2
"262",15,2001,1.2535697221756,0,1997,2
"263",15,2002,3.14457035064697,0,1997,2
"264",15,2003,3.49380278587341,1,1997,2
"265",15,2004,3.54201722145081,1,1997,2
"266",15,2005,3.63319683074951,1,1997,2
"267",15,2006,3.5933210849762,0,1997,2
"268",15,2007,4.16102075576782,0,1997,2
"269",15,2008,2.85562252998352,0,1997,2
"270",15,2009,2.7436215877533,0,1997,2
"271",15,2010,2.78056526184082,0,1997,2
"272",15,2011,2.43452835083008,0,1997,2
"273",15,2012,2.41737771034241,0,1997,2
"274",16,1992,0.683668434619904,1,1992,1
"275",16,1993,0.526708722114563,1,1992,1
"276",16,1994,0.507182598114014,0,1992,1
"277",16,1995,0.980829298496246,0,1992,1
"278",16,1996,0.953621983528137,0,1992,1
"279",16,1997,1.01038217544556,1,1992,1
"280",16,1998,0.956500172615051,1,1992,1
"281",16,1999,1.14634883403778,1,1992,1
"282",16,2000,1.19172525405884,0,1992,1
"283",16,2001,1.09880912303925,0,1992,1
"284",16,2002,1.16614031791687,0,1992,1
"285",16,2003,2.44153332710266,0,1992,1
"286",16,2004,2.48117804527283,0,1992,1
"287",16,2005,2.56490302085876,0,1992,1
"288",16,2006,2.7014217376709,0,1992,1
"289",16,2007,2.70124053955078,0,1992,1
"290",16,2008,2.68565821647644,0,1992,1
"291",16,2009,2.84163069725037,0,1992,1
"292",16,2010,2.86170411109924,1,1992,1
"293",16,2011,2.46156525611877,1,1992,1
"294",16,2012,2.9738039970398,1,1992,1
"295",17,1992,0.105360560119152,1,1992,1
"296",17,1993,0.103317640721798,1,1992,1
"297",17,1994,0.307884782552719,0,1992,1
"298",17,1995,0.563469350337982,0,1992,1
"299",17,1996,0.499955922365189,0,1992,1
"300",17,1997,0.713081359863281,0,1992,1
"301",17,1998,0.645356476306915,0,1992,1
"302",17,1999,0.669430613517761,0,1992,1
"303",17,2000,0.870149552822113,0,1992,1
"304",17,2001,0.866314053535461,0,1992,1
"305",17,2002,0.878853261470795,0,1992,1
"306",17,2003,1.45785295963287,0,1992,1
"307",17,2004,1.62729561328888,0,1992,1
"308",17,2005,2.12218117713928,0,1992,1
"309",17,2006,1.99802041053772,0,1992,1
"310",17,2007,2.17506670951843,0,1992,1
"311",17,2008,1.98963761329651,0,1992,1
"312",17,2009,2.02587723731995,0,1992,1
"313",17,2010,2.28133416175842,1,1992,1
"314",17,2011,1.97768068313599,1,1992,1
"315",17,2012,3.13751983642578,1,1992,1
"316",18,1992,0.674868643283844,0,1997,2
"317",18,1993,0.77390855550766,0,1997,2
"318",18,1994,0.776908576488495,0,1997,2
"319",18,1995,0.752935111522675,0,1997,2
"320",18,1996,0.779368340969086,0,1997,2
"321",18,1997,0.746050655841827,1,1997,2
"322",18,1998,0.821716904640198,1,1997,2
"323",18,1999,0.865989983081818,1,1997,2
"324",18,2000,0.852823913097382,1,1997,2
"325",18,2001,0.87811815738678,1,1997,2
"326",18,2002,1.00640964508057,1,1997,2
"327",18,2003,1.68407928943634,1,1997,2
"328",18,2004,1.92865109443665,0,1997,2
"329",18,2005,2.01062822341919,0,1997,2
"330",18,2006,2.26438760757446,0,1997,2
"331",18,2007,2.67833161354065,0,1997,2
"332",18,2008,2.45194554328918,0,1997,2
"333",18,2009,2.4913022518158,0,1997,2
"335",18,2011,2.47726106643677,0,1997,2
"336",18,2012,2.59717535972595,0,1997,2
"337",19,1992,1.00330209732056,0,NA,0
"338",19,1993,1.00014507770538,0,NA,0
"339",19,1994,1.07145404815674,0,NA,0
"340",19,1995,1.09545528888702,0,NA,0
"341",20,1996,3.78987598419189,0,NA,0
"342",20,1997,3.26191854476929,0,NA,0
"343",20,1998,3.60221171379089,0,NA,0
"344",20,1999,3.68903136253357,0,NA,0
"345",20,2000,3.66620945930481,0,NA,0
"346",20,2001,4.31028270721436,0,NA,0
"347",20,2002,4.57722759246826,0,NA,0
"348",20,2003,4.74019289016724,0,NA,0
"349",20,2004,4.81089878082275,0,NA,0
"350",20,2005,4.97812509536743,0,NA,0
"351",20,2006,6.3895788192749,0,NA,0
"352",20,2007,6.49741649627686,0,NA,0
"353",20,2008,6.45529222488403,0,NA,0
"354",20,2009,6.50331878662109,0,NA,0
"355",20,2010,6.51499605178833,0,NA,0
"356",20,2011,6.42382049560547,0,NA,0
"357",20,2012,6.29805088043213,0,NA,0
"358",21,1992,0.760934233665466,0,NA,0
"359",21,1993,0.742309033870697,0,NA,0
"360",21,1994,0.9959517121315,0,NA,0
"361",21,1995,1.00845682621002,0,NA,0
"362",21,1996,0.990896999835968,0,NA,0
"363",21,1997,2.62540745735168,0,NA,0
"364",21,1998,1.01705610752106,0,NA,0
"365",21,1999,0.988264262676239,0,NA,0
"366",21,2000,0.977996408939362,0,NA,0
"367",21,2001,0.99746161699295,0,NA,0
"368",21,2002,1.03942334651947,0,NA,0
"369",21,2003,1.73342382907867,0,NA,0
"370",21,2004,1.95233976840973,0,NA,0
"371",21,2005,1.99303209781647,0,NA,0
"372",21,2006,2.39759707450867,0,NA,0
"373",21,2007,2.47254419326782,0,NA,0
"374",21,2008,2.69917249679565,0,NA,0
"375",22,2009,6.63768339157104,0,NA,0
"376",22,2010,6.68625640869141,0,NA,0
"377",22,2011,6.61677646636963,0,NA,0
"378",22,2012,6.5699315071106,0,NA,0
"402",25,1992,1.07732164859772,0,NA,0
"403",25,1993,0.923670828342438,0,NA,0
"404",25,1994,0.831297516822815,0,NA,0
"405",25,1995,0.798507750034332,0,NA,0
"406",25,1996,0.81503701210022,0,NA,0
"408",25,1998,0.938596487045288,0,NA,0
"409",25,1999,0.934844076633453,0,NA,0
"410",25,2000,0.927547931671143,0,NA,0
"411",25,2001,1.22619593143463,0,NA,0
"412",25,2002,1.2947793006897,0,NA,0
"413",25,2003,2.07847595214844,0,NA,0
"414",25,2004,2.46606874465942,0,NA,0
"415",25,2005,2.49764561653137,0,NA,0
"416",25,2006,2.55051398277283,0,NA,0
"417",25,2007,2.48933291435242,0,NA,0
"418",25,2008,2.3731153011322,0,NA,0
"423",27,1992,5.20687341690063,1,1992,1
"424",27,1993,3.29452848434448,1,1992,1
"425",27,1994,3.46359801292419,0,1992,1
"426",27,1995,3.68751430511475,0,1992,1
"427",27,1996,3.28709411621094,0,1992,1
"428",27,1997,3.21387004852295,0,1992,1
"429",27,1998,3.39982843399048,0,1992,1
"430",27,1999,3.78724026679993,0,1992,1
"431",27,2000,3.74327278137207,0,1992,1
"432",27,2001,4.43502426147461,0,1992,1
"433",27,2002,4.76852989196777,1,1992,1
"434",27,2003,4.77395582199097,1,1992,1
"435",27,2004,4.97284936904907,1,1992,1
"436",27,2005,5.07833957672119,1,1992,1
"437",27,2006,6.6768651008606,0,1992,1
