"outcome","treatment","began_convo","age","gender","partyideology","pre_therm_voter_outparty_rescaled"
-0.116172237725951,1,TRUE,25,"Male",3,0.0959751973398654
-0.041300835789344,0,TRUE,33,"Male",1,-0.99335190783541
-0.153607938694254,1,TRUE,35,"Male",4,-0.317217842554205
0.295620472925387,1,TRUE,35,"Female",2,0.0584121937131317
-0.116172237725951,1,TRUE,49,"Male",4,0.0959751973398654
1.41869150197449,0,TRUE,58,"Female",3,0.0959751973398654
0.632541781640119,0,TRUE,61,"Female",4,1.78631036054288
1.5309986048794,0,TRUE,57,"Female",3,0.922361277128005
0.819720286481636,1,TRUE,59,"Male",3,1.03505028800821
-1.23924326677506,1,TRUE,34,"Male",5,-1.40654494772948
1.98022701649904,0,TRUE,39,"Female",4,2.08681438955675
1.34382010003788,1,TRUE,24,"Female",4,-1.40654494772948
-0.0787365367576475,1,TRUE,35,"Male",3,0.0959751973398654
1.83048421262583,1,TRUE,46,"Male",4,0.546731240860669
0.744848884545029,1,TRUE,38,"Female",3,1.18530230251514
-0.378222144504075,0,TRUE,36,"Female",4,-0.16696582804727
-0.490529247408986,1,TRUE,49,"Female",4,0.0959751973398654
-0.303350742567468,1,TRUE,35,"Female",1,-0.279654838927471
-1.61360027645809,0,TRUE,44,"Female",5,-1.40654494772948
1.19407729616467,1,TRUE,31,"Female",1,0.884798273501272
-0.490529247408986,1,TRUE,49,"Female",2,-0.279654838927471
-1.61360027645809,1,TRUE,57,"Male",1,-1.40654494772948
1.41869150197449,0,TRUE,33,"Male",4,1.63605834603594
1.15664159519637,1,TRUE,42,"Male",3,0.546731240860669
2.12996982037226,0,TRUE,34,"Female",2,-0.655284875194807
-0.864886257092021,1,TRUE,42,"Prefer to self describe",1,-1.40654494772948
0.22074907098878,0,TRUE,37,"Female",3,0.396479226353735
0.258184771957084,0,TRUE,36,"Female",4,0.471605233607202
-0.116172237725951,0,TRUE,40,"Male",4,0.133538200966599
0.033570566147263,0,TRUE,34,"Female",4,-0.242091835300737
-0.902321958060324,1,TRUE,21,"Female",3,-0.655284875194807
0.632541781640119,1,TRUE,47,"Male",3,-1.33141894047601
1.15664159519637,0,TRUE,46,"Female",4,1.18530230251514
-1.01462906096523,0,TRUE,36,"Prefer to self describe",1,-0.843099893328476
0.894591688418243,0,TRUE,45,"Female",3,0.847235269874538
0.0710062671155664,0,TRUE,29,"Female",2,0.0959751973398654
-0.0787365367576475,0,TRUE,45,"Female",3,0.0959751973398654
-0.902321958060324,0,TRUE,38,"Female",2,-0.617721871568074
-0.303350742567468,1,TRUE,45,"Female",1,-0.918225900581943
0.258184771957084,0,TRUE,31,"Male",2,0.509168237233935
-1.42642177161657,1,TRUE,32,"Male",5,-1.21872992959581
-0.415657845472379,0,TRUE,21,"Female",2,-0.16696582804727
0.782284585513333,1,TRUE,33,"Male",2,-1.21872992959581
0.295620472925387,1,TRUE,44,"Female",4,-0.317217842554205
0.407927575830298,0,TRUE,32,"Male",2,-0.730410882448275
0.295620472925387,1,TRUE,52,"Female",3,0.509168237233935
1.19407729616467,1,TRUE,49,"Male",4,0.809672266247805
-1.53872887452148,1,TRUE,55,"Female",2,-0.279654838927471
-1.38898607064827,0,TRUE,21,"Female",1,-1.18116692596908
-0.153607938694254,0,TRUE,62,"Female",4,0.884798273501272
-0.490529247408986,0,TRUE,43,"Female",2,-0.467469857061139
1.56843430584771,0,TRUE,34,"Female",4,1.59849534240921
0.295620472925387,1,TRUE,34,"Male",3,0.509168237233935
-0.116172237725951,0,TRUE,21,"Male",3,0.0959751973398654
-0.116172237725951,1,TRUE,66,"Male",2,-0.279654838927471
0.707413183576726,1,TRUE,59,"Female",5,-0.99335190783541
0.744848884545029,1,TRUE,25,"Male",3,1.18530230251514
1.64330570778431,0,TRUE,41,"Male",5,1.82387336416961
1.68074140875262,1,TRUE,60,"Male",4,1.56093233878248
0.295620472925387,1,TRUE,20,"Male",3,-0.204528831674004
0.0710062671155664,1,TRUE,34,"Female",4,0.283790215473534
0.595106080671815,1,TRUE,28,"Female",4,1.44824332790228
1.11920589422806,0,TRUE,73,"Female",5,0.884798273501272
1.38125580100619,1,TRUE,44,"Male",4,1.59849534240921
1.75561281068922,1,TRUE,46,"Female",4,1.97412537867655
1.60587000681601,1,TRUE,60,"Female",2,-0.692847878821541
1.04433449229146,0,TRUE,69,"Female",4,1.44824332790228
-0.116172237725951,0,TRUE,68,"Female",4,-0.805536889701742
-0.977193359996931,1,TRUE,28,"Male",5,-1.40654494772948
1.11920589422806,1,TRUE,62,"Male",2,1.29799131339534
1.00689879132315,1,TRUE,38,"Female",4,0.0959751973398654
0.85715598744994,0,TRUE,41,"Male",2,-0.0167138135403355
-1.23924326677506,1,TRUE,26,"Female",2,-1.33141894047601
1.00689879132315,1,TRUE,31,"Female",5,-0.655284875194807
-1.61360027645809,1,TRUE,32,"Male",2,-1.40654494772948
-1.05206476193354,1,TRUE,31,"Prefer to self describe",2,-0.843099893328476
-1.42642177161657,1,TRUE,52,"Female",3,-1.40654494772948
-0.116172237725951,1,TRUE,38,"Prefer to self describe",1,-0.279654838927471
-0.677707752250503,1,TRUE,66,"Male",4,-0.730410882448275
-0.303350742567468,1,TRUE,32,"Female",4,-0.279654838927471
1.00689879132315,1,TRUE,48,"Female",5,0.0584121937131317
2.05509841843565,0,TRUE,43,"Female",3,-0.279654838927471
0.295620472925387,1,TRUE,60,"Male",3,0.509168237233935
-1.27667896774336,0,TRUE,58,"Female",4,-1.06847791508888
-0.116172237725951,0,TRUE,38,"Female",2,0.0959751973398654
-0.415657845472379,0,TRUE,34,"Female",2,0.471605233607202
1.00689879132315,1,TRUE,43,"Male",2,1.22286530614187
-0.864886257092021,1,TRUE,26,"Male",4,-1.40654494772948
-0.677707752250503,0,TRUE,47,"Male",3,0.471605233607202
0.482798977766905,1,TRUE,52,"Female",3,0.847235269874538
0.819720286481636,1,TRUE,28,"Male",3,1.03505028800821
-0.415657845472379,1,TRUE,41,"Female",2,-0.542595864314606
2.12996982037226,1,TRUE,31,"Male",3,2.34975541494388
0.183313370020477,1,TRUE,28,"Female",1,-1.06847791508888
0.295620472925387,1,TRUE,35,"Female",4,0.471605233607202
-1.61360027645809,0,TRUE,33,"Female",4,-1.40654494772948
1.00689879132315,0,TRUE,31,"Male",4,1.22286530614187
0.669977482608422,1,TRUE,22,"Female",2,-0.429906853434406
0.632541781640119,1,TRUE,52,"Male",3,-0.880662896955209
1.00689879132315,1,TRUE,27,"Male",4,0.696983255367604
0.632541781640119,1,TRUE,38,"Male",2,-0.730410882448275
0.0710062671155664,0,TRUE,40,"Female",3,0.0584121937131317
-1.23924326677506,1,TRUE,18,"Male",5,-1.40654494772948
1.38125580100619,0,TRUE,25,"Female",3,0.471605233607202
2.12996982037226,1,TRUE,57,"Female",3,0.283790215473534
1.38125580100619,0,TRUE,39,"Female",4,1.59849534240921
-0.939757659028628,1,TRUE,31,"Female",2,-0.617721871568074
1.00689879132315,1,TRUE,31,"Male",2,-0.0167138135403355
0.0710062671155664,1,TRUE,53,"Female",1,-0.467469857061139
0.819720286481636,0,TRUE,32,"Female",3,1.59849534240921
-0.116172237725951,1,TRUE,61,"Male",4,-1.03091491146214
-1.23924326677506,0,TRUE,57,"Female",4,-1.03091491146214
