"Z","D","Y"
1,1,0.469035863876343
1,0,-1.15402805805206
0,1,1.45932877063751
0,1,-0.440931975841522
0,1,0.452014952898026
0,0,1.80480551719666
0,0,-1.13239896297455
0,1,0.56158709526062
0,1,1.49868810176849
0,1,0.643215477466583
0,1,0.186811313033104
0,1,0.567272901535034
0,1,-0.528985202312469
0,1,0.938061475753784
0,0,0.596191227436066
0,0,-1.23986947536469
0,1,0.124091818928719
0,0,-1.2138090133667
0,1,0.103692531585693
0,0,-1.16737127304077
0,0,-1.1355904340744
0,1,1.64299690723419
0,2,-0.364903479814529
0,2,1.45162451267242
0,1,1.38149118423462
0,1,1.1626558303833
0,1,1.75838005542755
0,2,-0.252193808555603
0,2,1.54777956008911
0,2,-0.305790185928345
0,2,0.574191272258759
0,1,1.80233550071716
0,2,1.49917709827423
0,2,0.167664229869843
0,0,1.4325395822525
0,1,1.07476711273193
0,0,-1.47451233863831
0,1,-0.562644302845001
0,0,-1.17754757404327
0,0,-1.35369861125946
0,2,-0.830361902713776
1,1,-0.855798840522766
1,2,0.648130476474762
1,2,1.25643968582153
1,0,0.743220031261444
1,0,-1.37976896762848
1,0,-1.38231229782104
1,0,0.615620613098145
1,1,-1.11015594005585
1,0,-0.112463675439358
1,2,0.818095088005066
1,0,-1.07518112659454
1,2,0.40897524356842
1,2,1.01164245605469
1,1,-1.17374217510223
1,1,0.16223119199276
1,2,0.883130311965942
1,2,1.36250281333923
1,2,-0.710814952850342
1,1,-0.886965930461884
1,2,0.867359936237335
1,2,0.28219810128212
1,1,0.143256038427353
1,0,-1.2642605304718
1,1,1.26969563961029
1,2,0.0134566044434905
1,1,0.0856528356671333
1,2,1.8270605802536
1,1,1.451575756073
1,1,-0.214975073933601
1,1,-0.783946454524994
1,0,-1.60168480873108
1,0,0.100771062076092
1,0,-0.103144250810146
1,1,1.26201713085175
1,2,0.143189623951912
1,1,1.45697784423828
1,2,-1.42109024524689
1,1,-0.410665899515152
1,1,-0.390070348978043
1,0,0.115933544933796
1,1,0.8793044090271
1,1,-1.56989169120789
1,2,-0.87817919254303
1,1,-0.170634105801582
1,1,-0.492338567972183
1,2,0.0152856381610036
1,0,-0.864084661006927
1,1,1.65572893619537
1,1,-0.157443061470985
1,1,0.646407127380371
1,2,-0.490168303251266
1,2,0.0501991398632526
1,1,-0.367498368024826
1,1,-0.535299837589264
1,1,-0.00535164913162589
1,2,0.614827692508698
1,1,-0.514765560626984
1,2,1.37213099002838
1,2,0.146624445915222
1,2,0.479372382164001
1,1,0.0262524336576462
1,0,-0.387089848518372
1,2,1.07350742816925
1,1,-0.269745081663132
1,2,-0.866004705429077
1,2,1.6540914773941
1,2,-0.261164665222168
1,2,0.126060679554939
1,1,1.40121948719025
1,2,0.169306725263596
1,2,-0.0451162569224834
1,2,-0.148526266217232
1,2,-0.395218551158905
1,2,0.536690175533295
1,2,-0.191995605826378
1,2,-0.167786151170731
1,2,-0.310784012079239
1,2,0.487089842557907
1,1,1.67617475986481
1,1,1.60408651828766
1,1,1.29223704338074
1,1,1.8270605802536
1,1,1.59143340587616
1,1,1.635626912117
1,2,0.994555294513702
1,2,0.689640879631042
