"","Year","MunCode","Party","SIGLA_PARTIDO","NOME_CANDIDATO","Voteshare","Winner","Woman","Margin","Voters","Female.Voters","Male.Voters","Recruit.Share","Gender.Gap","Attrition.Rate","Attrition.Rate.Female","Attrition.Rate.Male","Switch.Rate.Female","Switch.Rate.Male","Renominated","Advanced","Cumulative.Female.Recruits.Share","Recruit.Share.Lagged","Gender.Gap.Lagged","Attrition.Rate.Lagged","University","Incumbent","Married","Age","Dynastic","Insider","Time.In.Party","Time.In.Politics","Prior.Office","First.Female.Mayor","Prior.Female.Mayors","Challenger_Incumbent","Challenger_Time.In.Politics","Illiteracy_2000","UrbanizationRate_2000","HDI_2000","HDI_2010","Population_2000","Female.Participation.Rate","Voter.Gender.Ratio","PT.Deputies.Voteshare","Gender.Gap.Year1","Gender.Gap.Year2","Gender.Gap.Year3","Gender.Gap.Year4","Woman.CouncilCandidatesShare.AllParties","Woman.Councilors.Share.AllParties","Female.Donations.Ratio"
"2285",2012,"64998","CIDADANIA","PPS","ROSA DE LIMA DE ALCANTARA ZAKIR",0.574669187145558,TRUE,TRUE,0.149338374291115,5973,3023,2949,2.51130085384229,0.397203445451045,0.0666666666666667,0.142857142857143,0,0,0,NA,NA,34.7337082368508,1.07181136120043,0.723491247492488,0.333333333333333,TRUE,FALSE,TRUE,58,TRUE,NA,NA,13,"VEREADOR",TRUE,0,TRUE,9,13.65,0.821000413393964,0.69373955,0.7462202158,7257,0.474719101123595,1.02509325194981,0.119967355821545,0,0.339097999321804,1.01729399796541,-0.934286217780782,0.376811594202899,0.222222222222222,0.91604189755532
"2286",2008,"65072","PP","PP","MARIA ELIZABETH NEGRAO SILVA",0.435722411831627,TRUE,TRUE,0.107777977366625,22568,11185,11380,0.22155264090748,0.0848094791778783,0.4,0,0.666666666666667,0,0.666666666666667,NA,NA,22.2619579794367,1.60469487873092,0.370382803759439,0.0857142857142857,FALSE,FALSE,TRUE,58,FALSE,FALSE,1,5,"VEREADOR",TRUE,0,FALSE,7,9.82,0.799722900791191,0.638424611,0.6833403443,27427,0.477690288713911,0.98286467486819,0.0907692307692308,0,0,0.0848094791778783,0,0.336363636363636,0,0.348356178753127
"2287",2004,"65099","PDT","PDT","NILCE SIGNORINI",0.262909319899244,FALSE,TRUE,-0.374606423173803,15541,7519,8018,1.80168586320057,0.914984774084085,0.392857142857143,0.1,0.555555555555556,0,0.388888888888889,FALSE,FALSE,31.3871525468812,2.86181520850368,2.45799037302772,0.457142857142857,TRUE,FALSE,FALSE,61,FALSE,FALSE,1,1,"None",TRUE,0,TRUE,17,9.311,0.988145517373776,0.658881022,0.7435849549,20836,0.671378091872792,0.937765028685458,0.156970810369463,0,0,1.03970415547595,-0.132996409096954,0.305970149253731,0,0.30745069562355
"2288",2016,"65099","CIDADANIA","PPS","LIDIA LUCIA SARMENTO DE LIMA",0.307469180565627,FALSE,TRUE,-0.134155184916606,23409,11717,11689,0.128155837498398,0.0857549568135628,0,0,0,0,0,NA,NA,79.2865067850132,0.787365105831133,0.264321075723511,0.0588235294117647,FALSE,FALSE,TRUE,60,TRUE,NA,NA,0,"None",TRUE,0,FALSE,5,9.311,0.988145517373776,0.658881022,0.7435849549,20836,0.671378091872792,1.00239541449226,0.0271040424121935,0,0,0,0.0857549568135628,0.377697841726619,0.111111111111111,0.832084834937982
"2289",2016,"65137","PSD","PSD","CELEIDE APARECIDA FLORIANO",0.505540581012279,TRUE,TRUE,0.208146151542378,4443,2218,2225,2.92595093405357,0.440927650175784,0,0,0,0,0,NA,NA,87.0153291253381,3.92242318587928,0.822107238646639,0.388888888888889,FALSE,FALSE,FALSE,56,FALSE,TRUE,5,13,"VEREADOR",TRUE,0,FALSE,9,10.82,0.823398215733982,0.715920786,0.7027178602,4932,0.527494908350306,0.99685393258427,0.0500166722240747,0,0,0,0.440927650175784,0.375,0.111111111111111,0.950873749511308
"2290",2012,"65153","PSD","PSD","ELAINE ALVARES SILVEIRA ROCHA",0.511635529334644,TRUE,TRUE,0.0232710586692888,3390,1681,1708,0,0,0,0,0,NA,NA,TRUE,NA,77.9298036882808,2.57637099742363,2.27785491148907,0.142857142857143,TRUE,FALSE,TRUE,50,TRUE,FALSE,1,11,"None",TRUE,0,TRUE,NA,13.967,0.785608674223756,0.703789515,0.7490348172,4058,0.454314720812183,0.984192037470726,0.146723044397463,0,0,0,0,0.37037037037037,0.333333333333333,0.847214310524488
"2291",2016,"65153","PSD","PSD","ELAINE ALVARES SILVEIRA ROCHA",0.573361823361823,TRUE,TRUE,0.146723646723647,3378,1688,1689,0,0,0,0,0,NA,NA,NA,NA,92.4170616113744,0,0,0,TRUE,TRUE,TRUE,54,TRUE,TRUE,5,15,"PREFEITO",TRUE,0,FALSE,17,13.967,0.785608674223756,0.703789515,0.7490348172,4058,0.454314720812183,0.999407933688573,0.120381901203819,0,0,0,0,0.344827586206897,0.222222222222222,0.607676953856932
"2292",2004,"65315","PSB","PSB","LEILA SILVA DO PRADO MIRANDA",0.553591160220995,TRUE,TRUE,0.107182320441989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,TRUE,FALSE,TRUE,43,FALSE,NA,NA,NA,"None",TRUE,0,FALSE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293",2008,"65315","PSB","PSB","LEILA SILVA DO PRADO MIRANDA",0.393714535137495,FALSE,TRUE,-0.198603230030554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,47,FALSE,NA,NA,NA,"PREFEITO",TRUE,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294",2016,"65374","PSDB","PSDB","ISABELA DE SOUSA PASCHOAL",0.189699772673826,FALSE,TRUE,-0.0892059261581876,17087,8637,8420,2.63358108503541,0.653502291005086,0,0,0,0,0,NA,NA,76.1838601366215,4.46269189575152,3.95487383712315,0.213333333333333,FALSE,FALSE,FALSE,27,TRUE,TRUE,5,5,"None",TRUE,0,FALSE,13,12.494,0.80341270972955,0.661633397,0.7420445814,21039,0.472303206997085,1.02577197149644,0.105228758169935,0.513850123357581,0,0.12174874875453,0.0179034188929748,0.379084967320261,0.111111111111111,1.13069516568696
